NodePubkey,Commission,ActivatedStake
HzrEstnLfzsijhaD6z5frkSE2vWZEH5EUfn3bU9swo1f,7,1525332913071538
6JKwz43wDTgk5n8eNCJrtsnNtkDdKd1XUZAvB9WkiEQ4,10,1518748177932234
GYx8kpp7SsRwtQEEsGQjAxb4hFMMmT91kFJuDeky3YGQ,100,1459427595819431
DDnAqxJVFo2GVTujibHt5cjevHMSE9bo8HJaydHoshdp,2,1451827508393852
mrgn4sJJu5GBa5wbKyjuASzhyCifvcedGoLtpKjB3Wf,0,1403118379788633
FZ4MT1HYJHd9GK8D5mJ9f3r7irLaDL5NxBNLjGqrLqs9,100,1293070464022342
CVvaeDPR2o7P1eawG5c9TPFLzSXAewwPovPmREaEL4Cm,0,1233056533969369
HLnodbYkL5PFA8hjAZDkm5pGzV7eLTvcs671AW2L6St9,0,1227505188579925
5Us18hLZPXJTS4QVuGSsUw137Dyd2tgBaem24Xsf5nBS,100,1207979324901175
ChorusmmK7i1AxXeiTtQgQZhQNiXYU84ULeaYF1EH15n,8,1205881029466141
CMPSSdrTnRQBiBGTyFpdCc3VMNuLWYWaSkE8Zh5z6gbd,5,1195334121458428
RBFiUqjYuy4mupzZaU96ctXJBy23sRBRsL3KivDAsFM,6,1140305816988206
PUmpKiNnSVAZ3w4KaFX6jKSjXUNHFShGkXbERo54xjb,0,1131948088470307
vu1sGn2f1Xim6voHNLt4nLn38zNkYdLasU7hEr1TC2D,0,1102310202016738
C1ocKDYMCm2ooWptMMnpd5VEB2Nx4UMJgRuYofysyzcA,2,1071371332779063
3fpcsJ2WPdrmpjVVA5Lmv4m9Qx5xqND1xJhFprDSjWJ4,100,1063880402001322
A9mvukTd77EbRoBX4ydSCFQHdu5bsRFkNXTTRstA8FAC,5,1042707365474775
AicQr2zCWBLiBwt2r6o7iTemmtyE7q5pTKyuuupbXEQA,100,1025633507859345
6aDs9tUm2gErcPn2c1TZnp5cu2bQV9BzyuwW4baWQYd4,8,999338727765102
7cVfgArCheMR6Cs4t6vz5rfnqd56vZq4ndaBrY5xkxXy,8,974697090971228
Va1idLRtYEtVFJFsvz8vtt1uCJgea4Q1zi2Rh3eraJh,5,956723240531375
GREEDkgav1ox1jYyd9Anv6exLqKV2vYnxMw5prGwmNKc,0,933831586227259
4QNekaDqrLmUENqkVhGCJrgHziPxkX9kridbKwunx9su,0,893585378215302
Frog1Fks1AVN8ywFH3HTFeYojq6LQqoEPzgQFx2Kz5Ch,0,864068958694434
AaapDdocMdZQaMAF1gXqKX2ixd7YYSxTpKHMcsbcF318,100,850530261764814
GmCxjmjKZoaKN1DKunbYq8RCYib94Nm3sHyncFfofaF5,100,846177759094722
Diman2GphWLwECE3swjrAEAJniezpYLxK1edUydiDZau,0,845237744910982
8uJiHDJ1b7UDQ4KFsQGJXK9nUCkokdKRJymg1Wy9nxvM,100,825470291862942
FWwwP9tNttSy9dJFxwf6ebXWfc6VJXqFNMTccrMiLFTH,100,824664091019840
juigBT2qetpYpf1iwgjaiWTjryKkY3uUTVAnRFKkqY6,4,824016019920567
58KprHKFNHgH1Cvo4QwxWkDeJNaSQVteCoAAFUWjtESn,100,822411044868480
HaLanfo94ezLc3JZ55qqxr7W3qbe1PprJyv2uEtriEqN,100,779969326034247
mint13XHZSSxtgHuTSM9qPDEJSbWktpmpM4CZxeLB8f,7,770727281382410
Atom7LRkdXj6MBoWJPgjaetrCMrgB9nnkQBYXTWE8Z3S,0,761789828305979
7PdKhpKz7T39vZHFL1UfcYNDsLvay6hp4KPQq1aUckFf,5,737792087239264
CwyVpfmfSiMeCexi3JgUNvaiDfYN14cLDjzT99zcBuD2,100,731923047151360
BXAxLMMMUNYfC1z166VjWHR3WjTmqzLxB837o5ghmRtH,3,709190317986713
Ex1AxFCipXGfSxgvXPPT3nPQUARddCduHwKR6jHiXAaT,3,689789605637716
Cogent51kHgGLHr7zpkpRjGYFXM57LgjHjDdqXd4ypdA,0,688960408120805
3B2mGaZoFwzAnWCoZ4EAKdps4FbYbDKQ48jo8u1XWynU,5,660373559267273
3RXKQBRv7xKTQeNdLSPhCiD4QcUfxEQ12rtgUkMf5LnS,0,631261162980319
Fc6NNdS2j3EmrWbU6Uqt6wsKB5ef72NjaWfNxKYbULGD,5,609586187208526
STaKesuXJH6UGRizuEVSWG1tyLu5ycKgWj3i1HUdvs5,0,608818060316312
FugJZepeGfh1Ruunhep19JC4F3Hr2FL3oKUMezoK8ajp,2,587842865220996
DTSUkYHd2e9P2HLyZfbLarsbDdPhQUhZnWjRYuJZQRC8,0,558604251028204
7mYeuc2iBaWRpkxATYteXxe2pMjzQ7XhPgP1xG6vTjDh,20,541362469419462
57i31UEyDg4koaZMZ1wAHbYuezXv3AVaHtvJgJarxt3f,0,501480604136875
23U4mgK9DMCxsv2StC4y2qAptP25Xv5b2cybKCeJ1to3,0,500577776946894
Fire6ZGPLaqBBGWXC8PgweVjREVXRhwzgRNkdGs1wfQM,0,495447480473821
DB7DNWMVQASMFxcjkwdr4w4eg3NmfjWTk2rqFMMbrPLA,0,483158238170907
CjmXSapt1ouz3CZzgkRJckBEwMSo5fVdVrizLeRscwYD,5,482887081719383
D4r6Rcua2L7nHHhdaiZe2k2bTfPg2WQqcNYpG6bugvCG,0,473420256497902
sTepQGoReJq2tBKStL19DT6nnGHcGiAvFjyYaokLyuM,7,455904225220340
AoUwfPuiEek2thVRDhMP7HbQb9rguyab4rDiz2NAfwwA,6,453389176017414
mrgn28BhocwdAUEenen3Sw2MR9cPKDpLkDvzDdR7DBD,0,440694579093159
2mMGsb5uy1Q4Dvezr8HK2E8SJoChcb2X7b61tJPaVHHd,5,434908164454265
23SUe5fzmLws1M58AnGnvnUBRUKJmzCpnFQwv4M4b9Er,5,430870486454722
5tfcGyf3NQFcufDigvbRt9kWoVN2KPEkBRUY3UaC3Zwm,1,418826483797831
RNXnAJV1DeBt6Lytjz4wYzvS3d6bhsfidS5Np4ovwZz,5,408024578029791
7GkMBmtrTZz8QbjSe1sXvAUtz7Pp42SQxfT5ymmJD4We,9,397360493744711
7CR3Jq4ny2tsr3DX3DvyjoU8TYs776MGkU6nLMWjAqCT,100,384683634658939
AMukCLCr52XxsEjXoDxKKxjNg4FpnsReXNaQx8aR6DJF,1,384328577655259
b8ThsbsARWyjqWrBdU9JNFhXg8ZAjDaJtaqXXzy1sRS,0,372511048131071
9MYPYNS8MmwcrZLGndHFvw4eR9BYhdfJj6jBk2iHiE88,0,364787481172418
AS4i8EXUZnPbmNT5ZXmoTEbrXQrbFoReiWwwFB43Ds5z,0,354505137303648
3gGnnwaCHuGaBzhAa8ujFR1vf6inHYPxLBh8tdXHTxgZ,100,354425979171200
fishfishrD9BwrQQiAcG6YeYZVUYVJf3tb9QGQPMJqF,5,352409235328408
BitokuDHQiAhpUKrwx1VssAAoW5Rst8zB6gpfoaxM3Kh,0,338634602085328
D3htsc6iRQJLqCNWcC2xcZgUuvcd1JT8zoYNqraNcTQz,5,338579355489891
4XspXDcJy3DWZsVdaXrt8pE1xhcLpXDKkhj9XyjmWWNy,0,329389201972532
forb5u56XgvzxiKfRt4FVNFQKJrd2LWAfNCsCqL6P7q,7,326061989109218
